Coureur,Équipe,Prix min
PEDERSEN Casper,Soudal Quick-Step,5
VAN LERBERGHE Bert,Soudal Quick-Step,3
PARET-PEINTRE Valentin,Soudal Quick-Step,11
O'CONNOR Ben,Team Jayco AlUla,40
MATTHEWS Michael,Team Jayco AlUla,30
SCHMID Mauro,Team Jayco AlUla,9
GROENEWEGEN Dylan,Team Jayco AlUla,17
KRIJNSEN Jelte,Team Jayco AlUla,6
REINDERS Elmar,Team Jayco AlUla,5
JUUL-JENSEN Christopher,Team Jayco AlUla,5
DUNBAR Eddie,Team Jayco AlUla,16
FOLDAGER Anders,Team Jayco AlUla,6
WALSCHEID Max,Team Jayco AlUla,6
DURBRIDGE Luke,Team Jayco AlUla,6
ZANA Filippo,Team Jayco AlUla,13
MEZGEC Luka,Team Jayco AlUla,11
PLAPP Luke,Team Jayco AlUla,19
HARPER Chris,Team Jayco AlUla,18
ONLEY Oscar,Team Picnic PostNL,19
POOLE Max,Team Picnic PostNL,18
ANDRESEN Tobias Lund,Team Picnic PostNL,17
BITTNER Pavel,Team Picnic PostNL,16
VERMAERKE Kevin,Team Picnic PostNL,15
VAN DEN BROEK Frank,Team Picnic PostNL,14
VAN UDEN Casper,Team Picnic PostNL,13
EEKHOFF Nils,Team Picnic PostNL,12
JEANNIÈRE Emilien,Team TotalEnergies,12
JEGAT Jordan,Team TotalEnergies,8
BURGAUDEAU Mathieu,Team TotalEnergies,8
TURGIS Anthony,Team TotalEnergies,17
VERCHER Mattéo,Team TotalEnergies,7
CRAS Steff,Team TotalEnergies,13
DELETTRE Alexandre,Team TotalEnergies,6
LATOUR Pierre,Team TotalEnergies,6
DUJARDIN Sandy,Team TotalEnergies,6
VAN AERT Wout,Team Visma | Lease a Bike,50
VINGEGAARD Jonas,Team Visma | Lease a Bike,100
JORGENSON Matteo,Team Visma | Lease a Bike,64
KOOIJ Olav,Team Visma | Lease a Bike,50
YATES Simon,Team Visma | Lease a Bike,50
BRENNAN Matthew,Team Visma | Lease a Bike,22
KELDERMAN Wilco,Team Visma | Lease a Bike,21
LAPORTE Christophe,Team Visma | Lease a Bike,14
BENOOT Tiesj,Team Visma | Lease a Bike,13
TULETT Ben,Team Visma | Lease a Bike,12
HAGENES Per Strand,Team Visma | Lease a Bike,10
ZINGLE Axel,Team Visma | Lease a Bike,9
AFFINI Edoardo,Team Visma | Lease a Bike,8
KUSS Sepp,Team Visma | Lease a Bike,21
VALTER Attila,Team Visma | Lease a Bike,15
CAMPENAERTS Victor,Team Visma | Lease a Bike,13
NORDHAGEN Jørgen,Team Visma | Lease a Bike,6
HIRSCHI Marc,Tudor Pro Cycling Team,30
STORER Michael,Tudor Pro Cycling Team,26
ALAPHILIPPE Julian,Tudor Pro Cycling Team,30
TRENTIN Matteo,Tudor Pro Cycling Team,19
PLUIMERS Rick,Tudor Pro Cycling Team,6
DE KLEIJN Arvid,Tudor Pro Cycling Team,20
STORK Florian,Tudor Pro Cycling Team,6
BRENNER Marco,Tudor Pro Cycling Team,6
HALLER Marco,Tudor Pro Cycling Team,11
DAINESE Alberto,Tudor Pro Cycling Team,10
POGAČAR Tadej,UAE Team Emirates - XRG,100
ALMEIDA João,UAE Team Emirates - XRG,60
YATES Adam,UAE Team Emirates - XRG,60
AYUSO Juan,UAE Team Emirates - XRG,60
