Rnk,Rider,Team,UCI,Pnt,,Time
139,AZPARREN Xabier Mikel,Q36.5 Pro Cycling Team,,,,",,1:33"
140,SAMITIER Sergio,Cofidis,,,,1:401:40
141,BILBAO Pello,Bahrain - Victorious,,,,",,1:40"
142,TORRES Albert,Movistar Team,,,,",,1:40"
143,COLLEONI Kevin,Intermarché - Wanty,,,,",,1:40"
144,HUYS Laurens,Arkéa - B&B Hotels,,,,",,1:40"
145,VAN BAARLE Dylan,Team Visma | Lease a Bike,,,,",,1:40"
146,HAYTER Ethan,Soudal Quick-Step,,,,",,1:40"
147,VINE Jay,UAE Team Emirates - XRG,,,,",,1:40"
148,CEPEDA Jefferson Alexander,EF Education - EasyPost,,,,",,1:40"
149,SCHULTZ Nick,Israel - Premier Tech,,,,",,1:40"
150,TRATNIK Jan,Red Bull - BORA - hansgrohe,,,,1:501:50
151,ČERNÝ Josef,Soudal Quick-Step,,,,",,1:50"
152,OLDANI Stefano,Cofidis,,,,",,1:50"
153,ARRIETA Igor,UAE Team Emirates - XRG,,,,",,1:50"
154,BYSTRØM Sven Erik,Groupama - FDJ,,,,",,1:50"
155,BARDET Romain,Team Picnic PostNL,,,,",,1:50"
156,STEINHAUSER Georg,EF Education - EasyPost,,,,",,1:50"
157,CEPEDA Jefferson Alveiro,Movistar Team,,,,",,1:50"
158,PIETROBON Andrea,Team Polti VisitMalta,,,6″,6″
159,MARTINELLI Alessio,VF Group - Bardiani CSF - Faizanè,,,,",,1:50"
160,SHAW James,EF Education - EasyPost,,,,1:541:54
161,CLARKE Simon,Israel - Premier Tech,,,,2:092:09
162,MIHOLJEVIĆ Fran,Bahrain - Victorious,,,,2:302:30
163,JANSSENS Jimmy,Alpecin - Deceuninck,,,,2:402:40
164,HERMANS Quinten,Alpecin - Deceuninck,,,,",,2:40"
165,TAROZZI Manuele,VF Group - Bardiani CSF - Faizanè,,,,",,2:40"
166,GAUDU David,Groupama - FDJ,,,,2:532:53
167,EULÁLIO Afonso,Bahrain - Victorious,,,,",,2:53"
168,MARCELLUSI Martin,VF Group - Bardiani CSF - Faizanè,,,,3:273:27
169,VERRE Alessandro,Arkéa - B&B Hotels,,,,3:493:49
170,MUÑOZ Francisco,Team Polti VisitMalta,,,,0:000:00
171,PLAPP Luke,Team Jayco AlUla,,,,8:288:28
